Id,TagName,Count,ExcerptPostId,WikiPostId
202,computing-over-reals,45,,
203,mandelbrot,2,,
204,soft-question,414,1482,1481
205,ramsey-theory,13,,
208,experimental,5,,
210,encoding,33,,
211,nondeterminism,69,,
212,time-hierarchy,26,,
214,coq,61,12049,12048
216,norms,12,3687,3686
217,space-time-tradeoff,21,,
218,proof-assistants,48,16791,16790
219,symmetry,17,,
225,cc.complexity-theory,3062,1734,1733
227,matching,92,9224,9223
229,ds.data-structures,354,5939,5938
230,tag-removed,7,5738,5737
231,relational-structures,19,,
233,clustering,73,19618,19617
234,online-algorithms,56,,
235,data-streams,36,,
237,graph-colouring,126,,
240,ds.algorithms,1836,2658,2657
242,gct,19,7961,7960
243,exp-time-algorithms,71,,
244,cg.comp-geom,271,5420,5419
245,lo.logic,547,2725,2724
246,pl.programming-languages,375,5897,5896
247,upper-bounds,71,,
248,st.statistics,81,,
249,matrix-product,45,,
250,sparse-matrix,28,,
253,statistical-physics,22,,
255,scheduling,49,,
256,spectral-graph-theory,57,,
258,network-modeling,35,,
261,greedy-algorithms,32,10673,10672
262,kolmogorov-complexity,91,10663,10662
263,probabilistic-circuits,10,,
265,approximation-hardness,197,3248,3247
266,epsilon-nets,9,,
268,directed-acyclic-graph,99,8077,8076
269,partial-order,49,20080,20079
271,barriers,15,,
272,p-vs-np,90,32714,32713
274,relativization,49,,
275,permanent,61,,
279,hard-instances,8,,
280,graph-algorithms,1041,3783,3782
281,clique,73,,
283,qma,6,1467,1466
284,dc.parallel-comp,105,7831,7830
285,lg.learning,203,1584,1583
286,cr.crypto-security,261,3002,3001
287,ct.category-theory,125,18169,18168
288,dc.distributed-comp,107,7827,7826
289,machine-models,51,,
290,linear-algebra,229,25045,25044
293,gt.game-theory,112,7829,7828
294,conditional-results,56,5829,5828
295,uniformity,18,,
299,teaching,35,,
300,counting-complexity,272,5845,5844
301,phase-transition,18,,
302,range-searching,9,,
303,fl.formal-languages,452,5744,5743
304,ne.neural-evol,50,7837,7836
307,communication-complexity,142,18622,18621
309,skip-lists,2,,
310,set-theory,50,6653,6652
312,boolean-matrix,24,,
313,implementation,31,21276,21275
316,csp,38,3242,3241
317,security,22,,
318,board-games,27,,
319,polynomial-hierarchy,67,,
321,physics,69,,
322,card-games,3,,
323,recreational,5,,
325,optimization,450,9928,9927
326,automorphism,12,,
327,semidefinite-programming,50,,
328,integrality-gap,14,,
329,black-box,13,,
330,vc-dimension,57,5422,5421
331,pseudorandomness,59,,
332,software,36,5016,5015
333,heuristics,50,7690,7689
334,graph-drawing,19,,
335,writing,19,,
336,natural-proofs,14,,
337,boolean-functions,224,18165,18164
340,authorship,4,,
341,string-matching,43,,
342,edit-distance,31,,
343,smoothed-analysis,7,,
346,grammars,109,,
347,pr.probability,243,18163,18162
348,factoring,66,,
349,logic-programming,22,,
350,simplex,18,,
353,graph-classes,22,,
354,denotational-semantics,47,,
357,domain-theory,29,,
358,books,37,27746,27745
366,na.numerical-analysis,50,,
373,natural-computing,12,,
376,tsp,54,8148,8147
377,social-sciences,10,,
379,stochastic-process,22,,
380,advice-request,66,9930,9929
382,linear-logic,33,5893,5892
383,automated-theorem-proving,47,12051,12050
384,proof-search,3,17209,17208
385,finite-model-theory,42,,
391,homomorphic-encryption,13,27936,27935
393,cellular-automata,28,,
394,max-flow-min-cut,45,,
395,one-way-function,32,3542,3541
396,obfuscation,5,,
399,research-practice,74,9161,9160
402,separation,14,18620,18619
403,db.databases,61,7835,7834
407,notation,19,,
408,mu-calculus,9,,
410,formal-systems,9,,
413,advice-and-nonuniformity,47,3267,3266
414,parsing,48,,
416,nexp,24,,
418,ai.artificial-intel,66,7823,7822
422,proof-theory,57,18171,18170
423,padding,2,,
424,average-case-complexity,41,,
428,max-cut,42,19659,19658
433,data-mining,17,,
438,pseudorandom-generators,41,,
440,application-of-theory,74,5496,5495
441,project-topic,12,6630,6629
443,normalization,29,,
444,packing,50,,
446,halting-problem,42,10671,10670
447,sequent-calculus,9,,
448,natural-deduction,4,,
452,formulas,13,,
454,regular-language,143,10313,10312
455,formal-methods,54,51929,51928
459,measure-theory,4,,
463,queueing-theory,7,,
465,context-free,119,52208,52207
468,polynomial-time,120,,
469,bioinformatics,9,5881,5880
470,transitive-reduction,3,,
471,bibliography,6,,
472,proof-techniques,6,,
477,compilers,45,,
480,partition-problem,85,,
481,lattice,37,,
482,order-theory,31,,
483,genetic-programming,10,,
484,query-complexity,53,,
485,intuition,17,,
486,unique-solution,20,,
488,dynamic-programming,61,,
489,planar-graphs,131,,
491,fixed-parameter-tractable,76,25993,25992
496,zero-knowledge,30,,
499,percolation,4,,
501,paper-review,30,,
504,max-flow,34,,
508,decision-trees,36,,
509,genetic-algorithms,24,10669,10668
511,random-k-sat,15,37067,37066
514,cryptographic-attack,15,,
515,metric-spaces,28,,
518,comp-number-theory,44,,
519,primes,30,,
520,logical-relations,12,,
522,integer-lattice,23,,
524,topological-graph-theory,26,,
526,amortized-analysis,12,,
527,context-free-languages,16,,
528,knowledge-representation,9,5725,5724
529,petri-nets,6,,
530,linear-temporal-logic,36,,
533,image-processing,14,,
534,cv.computer-vision,17,7825,7824
536,modal-logic,18,,
538,hypercomputation,8,,
540,complexity-assumptions,7,,
541,privacy,14,7839,7838
543,term-rewriting-systems,36,,
544,algebraic-topology,14,7762,7761
549,combinatorial-game-theory,30,6128,6127
553,svm,10,17383,17382
559,conferences,26,,
565,post-correspondence,6,,
567,dependent-type,135,41722,41721
570,feasible-interpolation,2,,
574,search-problem,51,,
575,near-neighbors,12,,
579,graph-minor,33,,
580,cache-oblivious,8,10675,10674
583,np-intermediate,19,,
587,convex-optimization,95,,
588,philosophy,14,,
591,iterated-rounding,4,7317,7316
594,linear-equations,17,,
597,monotone,20,,
598,nt.number-theory,106,18167,18166
600,gr.group-theory,69,,
601,type-systems,98,,
603,church-turing-thesis,21,12495,12494
606,quantum-walk,8,,
608,model-theory,24,,
610,ni.networking-internet,11,7799,7798
611,structural-complexity,21,7853,7852
614,function,20,,
615,approximation,58,,
619,ce.computational-finance,7,7957,7956
622,p-hardness,7,,
626,citations,4,,
628,shannon-entropy,47,,
631,extractors,11,,
633,submodularity,35,17810,17809
634,journals,15,,
637,sorting-network,16,,
642,key-exchange,6,,
645,bounded-degree,19,,
646,arithmetic-circuits,85,,
647,logspace,51,,
651,fault-tolerance,8,,
655,recursive,10,,
656,polygon,14,,
657,pi-calculus,16,31401,31400
658,delaunay-triangulation,21,,
659,convex-geometry,49,,
660,high-dimensional-geometry,30,,
661,multicommodity-flow,16,,
670,shortest-path,81,,
678,random-graphs,24,,
680,fractals,5,,
682,object-oriented,17,,
691,prefix-free-code,11,,
695,ar.hardware-architecture,10,,
696,pspace,52,,
697,evolutionary-game-theory,4,12077,12076
702,calculus-of-constructions,45,48983,48982
704,quantum-information,127,11374,11373
706,space-complexity,67,,
708,parametricity,23,19930,19929
709,succinct,20,,
710,decidability,76,,
713,lisp,5,,
714,scheme,6,,
719,undecidability,39,,
720,independence,12,,
722,fourier-analysis,75,,
723,monte-carlo,9,,
726,counter-automata,11,,
734,worst-case,17,,
736,operational-semantics,21,,
738,ir.information-retrieval,6,,
742,selection,5,,
744,asymptotics,24,,
749,determinant,27,,
753,search-engines,3,,
755,se.software-engineering,12,,
756,analysis-of-algorithms,25,,
757,random-oracles,14,,
759,soundness,5,,
764,hierarchy-theorems,28,,
765,circuit-depth,32,,
766,program-logic,5,,
769,haskell,22,,
770,monad,27,,
772,applicative,6,,
782,probabilistic-automata,16,,
788,mechanism-design,8,,
789,availability,2,,
792,boolean-formulas,46,,
795,voronoi,7,,
798,bounded-depth,11,,
801,parallel,11,,
802,monoid,10,,
804,temporal-logic,42,51869,51868
805,comonad,4,,
806,combinatorics,56,,
807,np-complete,169,19620,19619
810,resolution,23,,
813,program-analysis,17,,
816,set-system,9,,
819,constructive-mathematics,25,,
821,quadratic,8,,
833,fft,8,,
834,convolution,6,,
837,computational-geometry,123,,
839,extremal-combinatorics,28,20770,20769
840,interval-graphs,12,,
842,continuations,12,,
843,cps-transforms,2,,
845,minimization,28,,
846,finite,5,,
847,unary-languages,8,,
850,spectral,3,,
862,circuits,34,,
864,probabilistic-computation,18,,
868,pac-learning,54,,
869,equivalence,15,,
873,homomorphism,15,,
874,perfect-graph,4,,
876,max2sat,12,,
878,subset-sum,52,,
882,algorithmic-lens,3,,
884,cograph,3,,
886,exact-cover,7,,
887,covering-problems,29,,
889,nfa,19,40350,40349
890,generalizations,4,,
891,limited-independence,3,,
893,extensionality,11,,
895,flow-problems,18,,
896,disjoint-paths,11,,
897,binary-space-partitions,3,,
899,homotopy-type-theory,28,44405,44404
900,cook-levin,5,,
902,polytope,25,,
903,binary-trees,19,,
906,streaming-algorithms,32,,
907,sliding-window,3,,
917,exploration-exploitation,1,24973,24972
918,correctness,7,,
919,typed-lambda-calculus,78,,
920,adaptive,2,,
926,synchronization,6,,
929,stable,5,,
932,convex-hull,12,,
937,two-player-games,8,,
940,parity,6,,
942,ac0,8,,
943,cc-complexity-theory,3,,
944,curry-howard,16,,
947,definitions,23,,
948,universal-turing-machines,28,,
953,bipartite-graphs,44,,
957,nash-equilibrium,9,,
959,fsm,4,,
966,arrangements,5,,
967,finite-fields,24,,
974,memory,6,,
977,sum-of-squares,23,,
979,complexity,92,,
980,probabilistic-complexity,10,,
982,k-wise-independence,9,,
988,interaction-nets,17,,
991,fine-grained,20,,
992,adiabatic,2,,
994,interaction-combinators,6,,
997,message-passing,2,,
1004,huffman,3,,
1005,shannon,7,,
1014,speed-up,4,,
1015,alternation,6,,
1016,tradeoff,5,,
1021,independent-set,23,,
1029,promise-problems,15,,
1041,complexity-theory,13,,
1042,ocaml,4,,
1049,enumeration,15,,
1051,adversarial-learning,4,,
1056,reversible-computing,12,,
1058,fixed-points,15,,
1064,spanning-tree,15,,
1065,first-order-logic,40,,
1070,cryptojacking,2,,
1074,computational-mathematics,6,,
1079,reinforcement-learning,8,,
1085,agda,18,48959,48958
1089,lts-simulations,6,,
1102,consistency-models,2,,
1103,existential-theory-of-the-reals,4,,
1106,diameter,4,,
1107,charles-babbage,1,44477,44476
1108,algebraic-effects,3,,
1111,inductive-type,9,,
1113,omega-language,20,46013,46012
1119,cryptography,16,,
1123,vertex-cover,10,,
1127,topological-sorting,21,46842,46841
1128,hol-light,2,,
1129,hol,3,,
1135,2sat,4,,
1139,kernelization,5,47708,47707
1140,sampling,12,,
1141,information,5,,
1168,step-indexing,2,,
1169,guarded-domain-theory,2,,
1181,matroids,3,,
1194,ambiguity,5,53264,53263
1197,untagged,1,,
1198,hamiltonian,1,,
1199,hitting-set,1,,
1200,large-language-models,1,,
1201,elementary-functions,1,,
1202,triangulation,2,,
1203,markov-processes,1,,
1204,tilings,1,,
